cityId,cityName,state,lat,lon,temperature,feelsLike,minTemp,maxTemp,humidity,windSpeedKmh,windDirection,condition,rainProbability,rainAmountMm,aqi,pollenLevel,uvIndex,sunrise,sunset,moonrise,moonset,alertType,alertSeverity,alertMessage
nanded,Nanded,Maharashtra,19.15,77.32,,,,,,,,,,,,,,,,,,,,
mumbai,Mumbai,Maharashtra,19.08,72.88,,,,,,,,,,,,,,,,,,,,
pune,Pune,Maharashtra,18.52,73.86,,,,,,,,,,,,,,,,,,,,
delhi,Delhi,Delhi,28.61,77.10,,,,,,,,,,,,,,,,,,,,
bengaluru,Bengaluru,Karnataka,12.97,77.59,,,,,,,,,,,,,,,,,,,,
hyderabad,Hyderabad,Telangana,17.38,78.49,,,,,,,,,,,,,,,,,,,,
chennai,Chennai,Tamil Nadu,13.08,80.27,,,,,,,,,,,,,,,,,,,,
kolkata,Kolkata,West Bengal,22.57,88.36,,,,,,,,,,,,,,,,,,,,
ahmedabad,Ahmedabad,Gujarat,23.02,72.57,,,,,,,,,,,,,,,,,,,,
jaipur,Jaipur,Rajasthan,26.91,75.79,,,,,,,,,,,,,,,,,,,,
lucknow,Lucknow,Uttar Pradesh,26.85,80.95,,,,,,,,,,,,,,,,,,,,
bhopal,Bhopal,Madhya Pradesh,23.26,77.41,,,,,,,,,,,,,,,,,,,,
nagpur,Nagpur,Maharashtra,21.15,79.09,,,,,,,,,,,,,,,,,,,,
srinagar,Srinagar,Jammu and Kashmir,34.08,74.80,,,,,,,,,,,,,,,,,,,,
guwahati,Guwahati,Assam,26.15,91.75,,,,,,,,,,,,,,,,,,,,
