cityId,date,day,condition,minTemp,maxTemp,rainProbability
nanded,06/09,Today,,,,
nanded,07/09,Sunday,,,,
nanded,08/09,Monday,,,,
nanded,09/09,Tuesday,,,,
nanded,10/09,Wednesday,,,,
nanded,11/09,Thursday,,,,
nanded,12/09,Friday,,,,
mumbai,06/09,Today,,,,
mumbai,07/09,Sunday,,,,
mumbai,08/09,Monday,,,,
mumbai,09/09,Tuesday,,,,
mumbai,10/09,Wednesday,,,,
mumbai,11/09,Thursday,,,,
mumbai,12/09,Friday,,,,
pune,06/09,Today,,,,
pune,07/09,Sunday,,,,
pune,08/09,Monday,,,,
pune,09/09,Tuesday,,,,
pune,10/09,Wednesday,,,,
pune,11/09,Thursday,,,,
pune,12/09,Friday,,,,
delhi,06/09,Today,,,,
delhi,07/09,Sunday,,,,
delhi,08/09,Monday,,,,
delhi,09/09,Tuesday,,,,
delhi,10/09,Wednesday,,,,
delhi,11/09,Thursday,,,,
delhi,12/09,Friday,,,,
bengaluru,06/09,Today,,,,
bengaluru,07/09,Sunday,,,,
bengaluru,08/09,Monday,,,,
bengaluru,09/09,Tuesday,,,,
bengaluru,10/09,Wednesday,,,,
bengaluru,11/09,Thursday,,,,
bengaluru,12/09,Friday,,,,
hyderabad,06/09,Today,,,,
hyderabad,07/09,Sunday,,,,
hyderabad,08/09,Monday,,,,
hyderabad,09/09,Tuesday,,,,
hyderabad,10/09,Wednesday,,,,
hyderabad,11/09,Thursday,,,,
hyderabad,12/09,Friday,,,,
chennai,06/09,Today,,,,
chennai,07/09,Sunday,,,,
chennai,08/09,Monday,,,,
chennai,09/09,Tuesday,,,,
chennai,10/09,Wednesday,,,,
chennai,11/09,Thursday,,,,
chennai,12/09,Friday,,,,
kolkata,06/09,Today,,,,
kolkata,07/09,Sunday,,,,
kolkata,08/09,Monday,,,,
kolkata,09/09,Tuesday,,,,
kolkata,10/09,Wednesday,,,,
kolkata,11/09,Thursday,,,,
kolkata,12/09,Friday,,,,
ahmedabad,06/09,Today,,,,
ahmedabad,07/09,Sunday,,,,
ahmedabad,08/09,Monday,,,,
ahmedabad,09/09,Tuesday,,,,
ahmedabad,10/09,Wednesday,,,,
ahmedabad,11/09,Thursday,,,,
ahmedabad,12/09,Friday,,,,
jaipur,06/09,Today,,,,
jaipur,07/09,Sunday,,,,
jaipur,08/09,Monday,,,,
jaipur,09/09,Tuesday,,,,
jaipur,10/09,Wednesday,,,,
jaipur,11/09,Thursday,,,,
jaipur,12/09,Friday,,,,
lucknow,06/09,Today,,,,
lucknow,07/09,Sunday,,,,
lucknow,08/09,Monday,,,,
lucknow,09/09,Tuesday,,,,
lucknow,10/09,Wednesday,,,,
lucknow,11/09,Thursday,,,,
lucknow,12/09,Friday,,,,
bhopal,06/09,Today,,,,
bhopal,07/09,Sunday,,,,
bhopal,08/09,Monday,,,,
bhopal,09/09,Tuesday,,,,
bhopal,10/09,Wednesday,,,,
bhopal,11/09,Thursday,,,,
bhopal,12/09,Friday,,,,
nagpur,06/09,Today,,,,
nagpur,07/09,Sunday,,,,
nagpur,08/09,Monday,,,,
nagpur,09/09,Tuesday,,,,
nagpur,10/09,Wednesday,,,,
nagpur,11/09,Thursday,,,,
nagpur,12/09,Friday,,,,
srinagar,06/09,Today,,,,
srinagar,07/09,Sunday,,,,
srinagar,08/09,Monday,,,,
srinagar,09/09,Tuesday,,,,
srinagar,10/09,Wednesday,,,,
srinagar,11/09,Thursday,,,,
srinagar,12/09,Friday,,,,
guwahati,06/09,Today,,,,
guwahati,07/09,Sunday,,,,
guwahati,08/09,Monday,,,,
guwahati,09/09,Tuesday,,,,
guwahati,10/09,Wednesday,,,,
guwahati,11/09,Thursday,,,,
guwahati,12/09,Friday,,,,
