cityId,slotTime,temperature,condition,rainProbability,humidity
nanded,11:30,,,,
nanded,14:30,,,,
nanded,17:30,,,,
mumbai,11:30,,,,
mumbai,14:30,,,,
mumbai,17:30,,,,
pune,11:30,,,,
pune,14:30,,,,
pune,17:30,,,,
delhi,11:30,,,,
delhi,14:30,,,,
delhi,17:30,,,,
bengaluru,11:30,,,,
bengaluru,14:30,,,,
bengaluru,17:30,,,,
hyderabad,11:30,,,,
hyderabad,14:30,,,,
hyderabad,17:30,,,,
chennai,11:30,,,,
chennai,14:30,,,,
chennai,17:30,,,,
kolkata,11:30,,,,
kolkata,14:30,,,,
kolkata,17:30,,,,
ahmedabad,11:30,,,,
ahmedabad,14:30,,,,
ahmedabad,17:30,,,,
jaipur,11:30,,,,
jaipur,14:30,,,,
jaipur,17:30,,,,
lucknow,11:30,,,,
lucknow,14:30,,,,
lucknow,17:30,,,,
bhopal,11:30,,,,
bhopal,14:30,,,,
bhopal,17:30,,,,
nagpur,11:30,,,,
nagpur,14:30,,,,
nagpur,17:30,,,,
srinagar,11:30,,,,
srinagar,14:30,,,,
srinagar,17:30,,,,
guwahati,11:30,,,,
guwahati,14:30,,,,
guwahati,17:30,,,,
